party_raw,match_status,matched_to,similarity_score,customer_id
Ashish Kirana (D Raja),REVIEW,ASHISH KIRANA D.RAJA,0.927,d50ce283-f16c-42b3-b281-207a486b87ef
Ambika  Genrel  Lonar,REVIEW,Ambika General Lonar,0.923,5a71f396-d9cb-4e30-9e9e-044f5fd369c8
Varad Kirana (Andhera),REVIEW,Arman Kirana (Andhera),0.909,47af8c6f-6c21-41ad-83ed-7c2e38a94528
Raj Provision,REVIEW,Ajay Provision,0.889,92fd2e94-3b7e-4528-828b-fc846f7cc64d
Shrikant Kirana Stores,REVIEW,Arihant Kirana Stores,0.884,448a8f40-22e7-4d58-99cc-ec9cac1ff9eb
Nagraj  Kirana,REVIEW,Arbaj Kirana,0.880,61727ba3-c89c-46d8-b1d4-0080a887ab58
Sakshi Kirana,REVIEW,akash kirana,0.880,59a5a563-5b75-4939-8129-a2c8ae239b0a
Sairaj  Kirana,REVIEW,Arbaj Kirana,0.880,61727ba3-c89c-46d8-b1d4-0080a887ab58
Hemant Kirana D Raja,REVIEW,Arihant Kirana D Raja,0.878,9f5122c1-f173-4be6-a77f-7432f7ca553c
Ravindra Kirana Mehkar,REVIEW,Amina Kirana Mehkar,0.878,f2484f0d-14b5-4d6d-be2b-afcf7a390755
Jain Kirana  D  Raja,REVIEW,Arihant Kirana D Raja,0.872,9f5122c1-f173-4be6-a77f-7432f7ca553c
Raju  Kirana,REVIEW,Arbaj Kirana,0.870,61727ba3-c89c-46d8-b1d4-0080a887ab58
"Laddad Kirana, H Ashram",REVIEW,Advait Kirana H Ashram,0.864,79abc08b-4669-441c-982b-241e13187a0e
Sai  Kirana,REVIEW,Aksa Kirana,0.857,cc1df6b1-76f4-43de-8a32-de3c2cae002b
Vaishnavi Kirana Mehkar,REVIEW,Amina Kirana Mehkar,0.857,f2484f0d-14b5-4d6d-be2b-afcf7a390755
Arihant Provision Lonar,REVIEW,Arihant Provision,0.850,e0fc388b-4097-457d-82a8-7ecef701c122
Lavkush Kirana,REVIEW,akash kirana,0.846,59a5a563-5b75-4939-8129-a2c8ae239b0a
Hanuman  Kirana,REVIEW,Anand Kirana,0.846,2053ac6b-4b29-405f-aad3-5759406e8c28
Jayesh Traders,REVIEW,Ajay Traders,0.846,3e164f84-962f-47b0-b707-b1a2ef1c834b
Mauli  Kirana Mehkar,REVIEW,Amina Kirana Mehkar,0.842,f2484f0d-14b5-4d6d-be2b-afcf7a390755
Wasim  Kirana Mehkar,REVIEW,Amina Kirana Mehkar,0.842,f2484f0d-14b5-4d6d-be2b-afcf7a390755
Mahavir Kirana Stores,REVIEW,Ashirwad Kirana Stores,0.837,fa7b91cf-b923-414d-a3ef-bb8114cf57a6
Janta  Kirana,REVIEW,Aktar Kirana,0.833,e08642a4-3381-46dc-b9ac-544a90f2cf61
Kousar  Kirana,REVIEW,Aksa Kirana,0.833,cc1df6b1-76f4-43de-8a32-de3c2cae002b
Kabra  Kirana,REVIEW,Aarya kirana,0.833,7b8421b1-55d3-44d9-8e89-18d73f9d48b8
Vishal Kirana D Raja,REVIEW,Arihant Kirana D Raja,0.829,9f5122c1-f173-4be6-a77f-7432f7ca553c
Jagdamba  Kirana  Mehkar,REVIEW,Amina Kirana Mehkar,0.829,f2484f0d-14b5-4d6d-be2b-afcf7a390755
Swaraj Kirana D Raja,REVIEW,Arihant Kirana D Raja,0.829,9f5122c1-f173-4be6-a77f-7432f7ca553c
Palsidh  Kirana Lonar,REVIEW,Ashirwad Kirana Lonar,0.829,0cf4c693-456f-4143-a351-dc2990c8f399
Dr. Prakash Kirana,REVIEW,akash kirana,0.828,59a5a563-5b75-4939-8129-a2c8ae239b0a
Shardha  Kirana,REVIEW,Aaradhya Kirana,0.828,3d89ece9-bc33-4615-9671-f1a1bf695fe7
Parshva Kirana,REVIEW,Aarishfa Kirana,0.828,00493fad-077d-4bf6-be88-79dbd35f16af
Vaibhavi  Kirana,REVIEW,Abhinav Kirana,0.828,235b6387-afb5-4f80-9f24-b81adc73daec
Ganesh  Kirana A.,REVIEW,Ansh Kirana N.V.,0.828,4c9c465a-69c2-4121-b37f-941663429f5d
Radhakrishna Kirana,REVIEW,Aarishfa Kirana,0.824,00493fad-077d-4bf6-be88-79dbd35f16af
Tuljai  Kirana Mehkar,REVIEW,Amina Kirana Mehkar,0.821,f2484f0d-14b5-4d6d-be2b-afcf7a390755
"Muskan Kirana, Mehkar",REVIEW,Amina Kirana Mehkar,0.821,f2484f0d-14b5-4d6d-be2b-afcf7a390755
Lonkar Kirana Mehkar,REVIEW,Amina Kirana Mehkar,0.821,f2484f0d-14b5-4d6d-be2b-afcf7a390755
Imran Kirana LONAR,REVIEW,Ashirwad Kirana Lonar,0.821,0cf4c693-456f-4143-a351-dc2990c8f399
Shakil Kirana D Raja,REVIEW,ASHISH KIRANA D.RAJA,0.821,d50ce283-f16c-42b3-b281-207a486b87ef
Ganesh  Kirana D Raja,REVIEW,ASHISH KIRANA D.RAJA,0.821,d50ce283-f16c-42b3-b281-207a486b87ef
Satish Kirana H Ashram,REVIEW,Advait Kirana H Ashram,0.818,79abc08b-4669-441c-982b-241e13187a0e
New Milan Kirana ( Andhera),REVIEW,Arman Kirana (Andhera),0.816,47af8c6f-6c21-41ad-83ed-7c2e38a94528
Jalna Traders,REVIEW,Ankita Traders,0.815,70559c5e-a820-471a-9ccc-7ba14953df61
Vaishnavi  Kirana,REVIEW,Anvi Kirana,0.815,dbcbcb0f-c1ca-4404-89cd-5d01c12e269f
Sadashiv  Kirana,REVIEW,akash kirana,0.815,59a5a563-5b75-4939-8129-a2c8ae239b0a
Ashirwad Kirana Stores ( D Raja),REVIEW,Ashirwad Kirana Stores,0.815,fa7b91cf-b923-414d-a3ef-bb8114cf57a6
Avnesh  Kirana,REVIEW,Ansh Kirana N.V.,0.815,4c9c465a-69c2-4121-b37f-941663429f5d
Samartha Provision,REVIEW,Amit Provision,0.812,ca7734c1-9a20-4b6b-a2a6-19afac6d6386
Shiv  Kirana Mehkar,REVIEW,Amina Kirana Mehkar,0.811,f2484f0d-14b5-4d6d-be2b-afcf7a390755
"Ganesh Kirana, H Ashram",REVIEW,Anubhooti Kirana H Ashram,0.809,543da157-8ee6-46c6-81c7-6f1d92044611
Shri Shankar Kirana Stores,REVIEW,Arihant Kirana Stores,0.809,448a8f40-22e7-4d58-99cc-ec9cac1ff9eb
"Sourabh Super Shopee, H Ashram",REVIEW,Anandi Super Shopee H Ashram,0.807,9867aaff-0930-4c66-820d-e6ad356bc51a
Sairam Kirana,REVIEW,Aarya kirana,0.800,7b8421b1-55d3-44d9-8e89-18d73f9d48b8
Sarthak  Kirana  Mehkar,REVIEW,Amina Kirana Mehkar,0.800,f2484f0d-14b5-4d6d-be2b-afcf7a390755
Sanket Kirana,REVIEW,Aktar Kirana,0.800,e08642a4-3381-46dc-b9ac-544a90f2cf61
Jaffar  Kirana,REVIEW,Aarya kirana,0.800,7b8421b1-55d3-44d9-8e89-18d73f9d48b8
Shri  Kirana,REVIEW,Anshraj kirana,0.800,d9221290-27fd-4abd-abd0-5ffebbc82378
Raunak Kirana,REVIEW,Anand Kirana,0.800,2053ac6b-4b29-405f-aad3-5759406e8c28
Mohan  Kirana  Mera,REVIEW,Ananad Kirana Mera,0.800,208cb880-d0df-417b-a86e-31b12cb9f05d
Pratap  Kirana,REVIEW,Aktar Kirana,0.800,e08642a4-3381-46dc-b9ac-544a90f2cf61
"Ashish Kirana, S Kheda",REVIEW,ASHISH KIRANA D.RAJA,0.800,d50ce283-f16c-42b3-b281-207a486b87ef
