id,name
c8eea4fe-ac56-4165-abbd-15324ddee44e,7/12 Hotel
9ed055c3-adca-49e2-903b-9ab46e2e21b7,Aadinath Kirana C.Z.
aa4525db-609a-4392-8346-c89136ad77e2,Aadinath Traders
90d445fb-7ee8-4053-946c-4628f617f32f,Aaditi Kirana (Fine Living)
4f14635f-764a-42af-bdd3-e1ad6a1f69ba,Aaditya Kirana
4cfb9c94-0de0-4203-8d88-2d7c835a0650,Aanand Sagar Goli Biscuit
3d89ece9-bc33-4615-9671-f1a1bf695fe7,Aaradhya Kirana
00493fad-077d-4bf6-be88-79dbd35f16af,Aarishfa Kirana
b5464756-14ac-439d-8d4b-5ddfd6ef9aae,aarush Kirana
740917e6-1427-4a20-9291-1c9993ac6e9d,Aarvi Provision
7b8421b1-55d3-44d9-8e89-18d73f9d48b8,Aarya kirana
66a87abd-2dd6-48d8-a4dd-0b4be76e8cdf,Aashish Kirana (M.I.D.C.)
7458d417-44eb-4509-be17-f1457fb07e7c,Aayush Kirana ( Chandan Zira )
8ebe57f4-2f9f-43df-87cf-c324bfff13e5,Aayush Kirana ( Chandan Zira )
02dafeef-0705-442d-915f-215822bedbd7,Abdul Sattar Dadabhai
152f8941-b758-4449-997e-069ff3b28fbf,Abdul Sattar Kasam
235b6387-afb5-4f80-9f24-b81adc73daec,Abhinav Kirana
20ea1869-5fa7-4e89-b675-500038649744,Adimangal Supar (D Raja)
ff1d4141-5ce7-43df-9b2e-c200e8512add,Aditya general
c3635909-3b9f-4131-8a9f-a03653fc83b3,Adrik Kirana (Ghati Road)
79abc08b-4669-441c-982b-241e13187a0e,Advait Kirana H Ashram
f7ddb0c1-e1ee-4174-91ae-31c21ddea6a4,Agrawal & Company
92785273-d8f9-4ba5-9098-989b8ff9322a,Agrawal & Company
143e65ed-5e4d-485a-8e47-2c422de65fa0,Agrawal Diparmental
ca068f57-dc55-4349-b2a1-48b0c46f4021,Agrawal Kirana (Jalna)
